address,city,county,state,zip,rent,bedrooms,bath_full,bath_partial,garage,description
618 W Yakima Ave,Irving,Dallas,TX,75062,,2,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
74 S Westgate St,Albany,Albany,NY,12204,,2,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
3273 State St,Middlesex,Middlesex,NJ,8846,,2,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
1 Central Ave,Stevens Point,Portage,WI,54481,,2,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
86 Nw 66th St #8673,Shawnee,Johnson,KS,66218,,2,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
2 Cedar Ave #84,Easton,Talbot,MD,21601,,2,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
90991 Thorburn Ave,New York,New York,NY,10011,,2,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
386 9th Ave N,Conroe,Montgomery,TX,77301,,2,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
74874 Atlantic Ave,Columbus,Franklin,OH,43215,,2,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
366 South Dr,Las Cruces,Dona Ana,NM,88011,,2,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
45 E Liberty St,Ridgefield Park,Bergen,NJ,7660,,2,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
4 Ralph Ct,Dunellen,Middlesex,NJ,8812,,2,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
2742 Distribution Way,New York,New York,NY,10025,,2,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
426 Wolf St,Metairie,Jefferson,LA,70002,,2,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
128 Bransten Rd,New York,New York,NY,10011,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
17 Morena Blvd,Camarillo,Ventura,CA,93012,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
775 W 17th St,San Antonio,Bexar,TX,78204,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
6980 Dorsett Rd,Abilene,Dickinson,KS,67410,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
2881 Lewis Rd,Prineville,Crook,OR,97754,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
7219 Woodfield Rd,Overland Park,Johnson,KS,66204,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
1048 Main St,Fairbanks,Fairbanks North Star,AK,99708,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
678 3rd Ave,Miami,Miami-Dade,FL,33196,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
20 S Babcock St,Fairbanks,Fairbanks North Star,AK,99712,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
2 Lighthouse Ave,Hopkins,Hennepin,MN,55343,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
38938 Park Blvd,Boston,Suffolk,MA,2128,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
5 Tomahawk Dr,Los Angeles,Los Angeles,CA,90006,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
762 S Main St,Madison,Dane,WI,53711,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
209 Decker Dr,Philadelphia,Philadelphia,PA,19132,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
4486 W O St #1,New York,New York,NY,10003,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
39 S 7th St,Tullahoma,Coffee,TN,37388,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
98839 Hawthorne Blvd #6101,Columbia,Richland,SC,29201,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
71 San Mateo Ave,Wayne,Delaware,PA,19087,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
76 Brooks St #9,Flemington,Hunterdon,NJ,8822,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
4545 Courthouse Rd,Westbury,Nassau,NY,11590,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
14288 Foster Ave #4121,Jenkintown,Montgomery,PA,19046,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
4 Otis St,Van Nuys,Los Angeles,CA,91405,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
65895 S 16th St,Providence,Providence,RI,2909,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
14302 Pennsylvania Ave,Huntingdon Valley,Montgomery,PA,19006,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
201 Hawk Ct,Providence,Providence,RI,2904,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
53075 Sw 152nd Ter #615,Monroe Township,Middlesex,NJ,8831,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
59 N Groesbeck Hwy,Austin,Travis,TX,78731,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
2664 Lewis Rd,Littleton,Douglas,CO,80126,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
59 Shady Ln #53,Milwaukee,Milwaukee,WI,53214,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
3305 Nabell Ave #679,New York,New York,NY,10009,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
18 Fountain St,Anchorage,Anchorage,AK,99515,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
7 W 32nd St,Erie,Erie,PA,16502,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
2853 S Central Expy,Glen Burnie,Anne Arundel,MD,21061,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
74 W College St,Boise,Ada,ID,83707,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
701 S Harrison Rd,San Francisco,San Francisco,CA,94104,,1,1,0,0,"Lovely historic detail is the hallmark of this condominium in Van Vorst Park. This is a sought-after parlor floor level one-bedroom condo. The home is ideally located just 2.5 blocks from the Grove Street PATH station. Original details include floor-to-ceiling windows, crown moldings, wood floors, high ceilings, two marble mantels and some exposed brick. There are a washer and dryer in unit. Very low monthly maintenance fee and taxes."
